time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
2.160000000000000142e+00,4.229042301681482208e+00,2.004336837884332034e+00,4.566425350386800197e-01,6.806136233199399088e-01,1.249089818939854490e+00,-1.932721383524149239e+00,-2.117794631518091553e+00
2.200000000000000178e+00,3.528928618339380208e+00,2.055514886186244894e+00,3.843687449644175858e-01,5.983255687492545771e-01,1.310023437196977003e+00,-1.695191475359083544e+00,-1.991495927465130933e+00
2.240000000000000213e+00,2.955293987549363788e+00,2.108637520311987146e+00,3.210194049498857338e-01,5.214639678182787508e-01,1.346629459421003316e+00,-1.484863935126068846e+00,-1.848318395545571979e+00
2.280000000000000249e+00,2.468825108972600546e+00,2.162854227683757458e+00,2.655262429813610159e-01,4.505479693412366426e-01,1.364939113538890192e+00,-1.300835765661579435e+00,-1.695792398993305694e+00
2.319999999999999840e+00,2.042869380930353085e+00,2.217518193804605797e+00,2.168927921296874006e-01,3.858123340371980015e-01,1.369126804759505323e+00,-1.140474192405395160e+00,-1.540531094018237290e+00
2.359999999999999876e+00,1.660429589914807380e+00,2.272122547065229092e+00,1.742445518520542580e-01,3.272569651328967599e-01,1.362035293914049872e+00,-1.000347488611975866e+00,-1.387659972382196738e+00
2.399999999999999911e+00,1.311725854109174083e+00,2.326255910611646271e+00,1.368461901312445217e-01,2.747093601286058062e-01,1.345613100135856444e+00,-8.769333110274021292e-01,-1.240716504282453059e+00
2.439999999999999947e+00,9.918468165429809025e-01,2.379573573015035581e+00,1.040958526568185744e-01,2.278848091725053926e-01,1.321257352485622594e+00,-7.670618694641822000e-01,-1.101837553542440729e+00
2.479999999999999982e+00,6.987179027712887569e-01,2.431780300772967252e+00,7.550688386714857203e-02,1.864362412829932703e-01,1.290053526073506429e+00,-6.681137253153160982e-01,-9.720703162640390582e-01
2.520000000000000018e+00,4.316226185939074367e-01,2.482620861632692577e+00,5.068539034743153870e-02,1.499912190016618463e-01,1.252922168376927381e+00,-5.780394939418772582e-01,-8.516931047755600392e-01
2.560000000000000053e+00,1.903017077506047872e-01,2.531875017008969220e+00,2.930910571566446021e-02,1.181770019870716087e-01,1.210696504362520187e+00,-4.952805690672687500e-01,-7.404871778050028386e-01
2.600000000000000089e+00,-2.549564631439191903e-02,2.579354742625995733e+00,1.111017404412815296e-02,9.063608385283741797e-02,1.164156889629621050e+00,-4.186543835540860181e-01,-6.379415501974111669e-01
2.640000000000000124e+00,-2.161711332333151880e-01,2.624902365824951289e+00,-4.137546151286288811e-03,6.703483073671044623e-02,1.114042602714211849e+00,-3.472428447913162852e-01,-5.433953119665316800e-01
2.680000000000000160e+00,-3.822794749590886498e-01,2.668388979742584599e+00,-1.662714955037331716e-02,4.706746312542116339e-02,1.061054138352571341e+00,-2.803012639821075846e-01,-4.561307997965491356e-01
2.720000000000000195e+00,-5.244587214968410294e-01,2.709712900186041384e+00,-2.652422389102805644e-02,3.045705388561738280e-02,1.005853187269272420e+00,-2.171916334785818359e-01,-3.754320094188648427e-01
2.760000000000000231e+00,-6.433342864618153412e-01,2.748798140807863888e+00,-3.397017881515396881e-02,1.695467970882969314e-02,9.490636556866518525e-01,-1.573375893380898893e-01,-3.006203927682055133e-01
2.800000000000000266e+00,-7.394135166856844465e-01,2.785592974959949952e+00,-3.908413098160098270e-02,6.337437452394486040e-03,8.912750388020075354e-01,-1.001963723460290168e-01,-2.310771710733517392e-01
2.839999999999999858e+00,-8.129633376052487481e-01,2.820068689594712907e+00,-4.196393635608746536e-02,-1.594272141687720027e-03,8.330486905344683946e-01,-4.524357935248755902e-02,-1.662586288133295065e-01
2.879999999999999893e+00,-1.471850609663055209e+01,2.852218662936361060e+00,-4.268683521697955174e-02,-7.020007667794958203e-03,7.749277697101960571e-01,8.031388434368756657e-03,-1.057088414125425951e-01
2.919999999999999929e+00,7.692984672001330182e+00,2.871171258968337359e+00,-2.003388675429208787e-02,-9.600861497837705552e-03,1.774531031774529144e-01,1.107433934243191365e+00,-1.636532136926461059e-02
2.959999999999999964e+00,5.445660060035473649e+00,2.884362419847585013e+00,1.059083705061696253e-02,-8.920495632053142970e-03,4.784581731919787528e-01,4.477384704331961451e-01,3.384474630013368374e-02
3.000000000000000000e+00,4.355164064738107577e+00,2.907424633747227372e+00,2.076405293993803178e-02,-7.816312434327924927e-03,6.725878567518351892e-01,7.257425071144471551e-02,1.397964984554785593e-02
3.040000000000000036e+00,3.309251599803758381e+00,2.937168587169529221e+00,1.878359647652762948e-02,-8.178242111308218348e-03,8.134068504641128738e-01,-1.665633912289502805e-01,-3.467652796950106142e-02
3.080000000000000071e+00,2.352880628193618318e+00,2.971591626437450007e+00,9.324474682459503103e-03,-1.067207916608786840e-02,9.071841857150585442e-01,-3.056611405990582453e-01,-8.986524335098745875e-02
3.120000000000000107e+00,1.555043857114382533e+00,3.008953168026983871e+00,-4.198775357490694242e-03,-1.528872392898660872e-02,9.607981260868166951e-01,-3.724198193604338902e-01,-1.393973794428856050e-01
3.160000000000000142e+00,9.040823686170362805e-01,3.047822995900425713e+00,-1.941134293863385624e-02,-2.167043348930624072e-02,9.829137654600067497e-01,-3.915736904134836105e-01,-1.775556969496447923e-01
3.200000000000000178e+00,3.657645092232630901e-01,3.087091889272269629e+00,-3.478371445183891381e-02,-2.931685774648034454e-02,9.809559235603181326e-01,-3.810725597330731906e-01,-2.025629872196392234e-01
3.240000000000000213e+00,-8.431965218262149619e-02,3.125908513430167623e+00,-4.936940149529372296e-02,-3.770468378684928290e-02,9.604294639075925399e-01,-3.524262141501195433e-01,-2.148091024801769000e-01
3.280000000000000249e+00,-4.590061649188896808e-01,3.163614152906941257e+00,-6.259452758466117761e-02,-4.635044295441490686e-02,9.254836442433332921e-01,-3.129454808798721732e-01,-2.157593360029484986e-01
3.320000000000000284e+00,-7.650006392562183066e-01,3.199700097174151381e+00,-7.412748662085207052e-02,-5.484006670091617908e-02,8.794834734219926231e-01,-2.675446794026892783e-01,-2.073441519565594471e-01
3.359999999999999876e+00,-1.007206692489379662e+00,3.233782620288926157e+00,-8.380425308747767310e-02,-6.284016728022244480e-02,8.253222537176438944e-01,-2.197575135032832916e-01,-1.916264506455669092e-01
3.399999999999999911e+00,-1.191077842474243198e+00,3.265586535839734239e+00,-9.158331956522607065e-02,-7.009922180586505847e-02,7.655404548359522332e-01,-1.722233784628483533e-01,-1.706131817384355098e-01
3.439999999999999947e+00,-1.323412173388710755e+00,3.294931422106413876e+00,-9.751425642285885265e-02,-7.644287855658214725e-02,7.023416273577386404e-01,-1.268921466214707749e-01,-1.461419777317274349e-01
3.479999999999999982e+00,-1.412105279818504755e+00,3.321717756695787394e+00,-1.017120123479552524e-01,-8.176568078162035902e-02,6.375723765421797973e-01,-8.511025948076830772e-02,-1.198120283289127591e-01
