time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
0.000000000000000000e+00,-1.795153641745654127e+01,6.674586336254246908e-32,3.221592653589793187e+00,3.061592653589793045e+00,-5.127595883936576735e-30,1.490218387125004792e-30,7.225088852668133187e-30
4.000000000000000083e-02,-6.350722531866588305e+00,-1.428843890047991685e-02,3.190705496066193358e+00,3.064909097582665609e+00,-7.073086906932529727e-01,-1.506361711583682261e+00,1.448518739737143790e-01
8.000000000000000167e-02,7.841675365452127622e-01,-4.686960025304780231e-02,3.122321922108473924e+00,3.071592239954741732e+00,-9.178754171293370678e-01,-1.881603102210111844e+00,1.648132813926931617e-01
1.199999999999999956e-01,3.595653992964764623e+00,-8.180746310919158326e-02,3.053696141571732081e+00,3.076206415932970284e+00,-8.281796228280061678e-01,-1.533072446614186957e+00,4.899380062725712526e-02
1.600000000000000033e-01,4.529706467532518488e+00,-1.108984506846270313e-01,3.004834091446008326e+00,3.074743210479162325e+00,-6.275770879948674441e-01,-9.094433052120326488e-01,-1.245206711921803683e-01
2.000000000000000111e-01,5.132131638405226681e+00,-1.314072500367243213e-01,2.982012532543050654e+00,3.066496909286537065e+00,-3.999024395945443011e-01,-2.407476352254421526e-01,-2.810663594138723131e-01
2.399999999999999911e-01,5.867720827048261256e+00,-1.425939890923645093e-01,2.985494969830121192e+00,3.053066513567442186e+00,-1.618540344008429221e-01,3.994028685143821145e-01,-3.782558419187694865e-01
2.800000000000000266e-01,6.672101399461124238e+00,-1.439832311826048372e-01,3.013610150038750213e+00,3.037457377084985310e+00,8.954255282088917356e-02,9.848546707072295403e-01,-3.847970357731957392e-01
3.200000000000000067e-01,7.435972107348057136e+00,-1.350434181634652120e-01,3.063552069978087822e+00,3.023936808215266669e+00,3.539899966884170746e-01,1.484567074899726613e+00,-2.682640832232621730e-01
3.599999999999999867e-01,8.256769903007805667e+00,-1.153606573255602091e-01,3.131131035529840734e+00,3.018052397182178659e+00,6.260177992608159103e-01,1.861968606552000249e+00,7.584053115025791297e-04
4.000000000000000222e-01,9.385775518683058039e+00,-8.466283155696639751e-02,3.211086859185849018e+00,3.026206519325339350e+00,9.042080493118926920e-01,2.101747780895855566e+00,4.329335021720931986e-01
4.400000000000000022e-01,1.095165293247848304e+01,-4.251724236507853361e-02,3.298280229901211946e+00,3.054706281072350205e+00,1.198001864740976030e+00,2.224386320188740385e+00,1.013222854380675830e+00
4.799999999999999822e-01,1.269119830794050152e+01,1.199036006098636725e-02,3.388700584799936077e+00,3.108932236932794524e+00,1.521819710314431084e+00,2.263717524345489895e+00,1.712577109495663441e+00
5.200000000000000178e-01,1.385647217047351276e+01,8.011836119489634811e-02,3.479212309701296135e+00,3.192933063123760018e+00,1.878394605408551410e+00,2.230082515937448662e+00,2.493381478054577549e+00
5.600000000000000533e-01,1.352035245292805143e+01,1.626457702607898292e-01,3.566262052021744289e+00,3.308720170318898646e+00,2.241403558287154762e+00,2.096559883282266945e+00,3.288449776464887009e+00
5.999999999999999778e-01,1.164048406383995449e+01,2.586708640414359106e-01,3.645000196468916709e+00,3.454560996688941010e+00,2.553846795526794278e+00,1.830366049196352041e+00,3.976106343326871961e+00
6.400000000000000133e-01,1.052747986318016338e+01,3.651606177857555369e-01,3.710631476334035561e+00,3.623247039231944022e+00,2.766513960430827979e+00,1.464343951476899663e+00,4.410066923140910866e+00
6.800000000000000488e-01,1.455036213875918882e+01,4.789404176172785133e-01,3.762711054439857872e+00,3.802753091083232562e+00,2.920451140274764601e+00,1.168221225711000955e+00,4.507162670624421885e+00
7.199999999999999734e-01,2.579239963926092472e+01,6.014765498476156713e-01,3.811118959427493458e+00,3.978795935109683324e+00,3.204352075509317110e+00,1.273590546411475621e+00,4.241941386292902294e+00
7.600000000000000089e-01,3.787615108226612648e+01,7.427977514921287883e-01,3.878891139339731620e+00,4.135244589894875311e+00,3.855047158886076186e+00,2.099245328378358089e+00,3.546714074507166359e+00
8.000000000000000444e-01,3.716095816003061714e+01,9.172497379331401302e-01,3.990296917094084073e+00,4.255800278752275290e+00,4.851409737706066316e+00,3.396759524587157131e+00,2.484371306264393287e+00
8.399999999999999689e-01,1.859529942767136745e+01,1.129047049225959443e+00,4.142467463589703414e+00,4.336799929369130169e+00,5.722281094851491723e+00,4.110451867233956946e+00,1.623041598563965904e+00
8.800000000000000044e-01,-3.845937259935263697e+00,1.362775148233838385e+00,4.296848191927476357e+00,4.398001640814534596e+00,5.965871623650128797e+00,3.569563046146678076e+00,1.483582491687675420e+00
