time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
9.599999999999999645e-01,2.155261767611731827e+01,1.140941107512692732e+00,4.168486250861864306e+00,4.271892020506769860e+00,6.174768427780413127e+00,5.056093124574003284e+00,4.901051610677387704e-01
1.000000000000000000e+00,-2.321162113959499784e+00,1.393464448069380079e+00,4.355935414309579201e+00,4.295711076916243876e+00,6.456360718263140619e+00,4.257824851606348382e+00,7.840723146382303499e-01
1.040000000000000036e+00,-1.176122791505073195e+01,1.644203259031662423e+00,4.500607605493394558e+00,4.333207994732990009e+00,6.094717758834874211e+00,3.017360368473328336e+00,1.062688188182539406e+00
1.080000000000000071e+00,-1.277749016333067189e+01,1.876475200359032147e+00,4.600256373755171602e+00,4.374389667275517368e+00,5.528879985235135130e+00,2.010213318025601659e+00,9.584704513287652938e-01
1.120000000000000107e+00,-1.390233799809337967e+01,2.086550332178662259e+00,4.664393349473094474e+00,4.407006332081218503e+00,4.981223333446083146e+00,1.226108130530493057e+00,6.478508178392565764e-01
1.159999999999999920e+00,-1.918982453831811696e+01,2.274733233527481691e+00,4.700407885903723937e+00,4.424128696504089575e+00,4.432220610549611806e+00,5.928917700767594168e-01,1.935713826063178156e-01
1.199999999999999956e+00,-2.651108268809545976e+01,2.438350889477216121e+00,4.714344532632867235e+00,4.418500070298395421e+00,3.752071637187462727e+00,1.143030586332369064e-01,-4.841977754236709841e-01
1.239999999999999991e+00,-3.278785702060304175e+01,2.570865912834964018e+00,4.712287794754259629e+00,4.380106530834915191e+00,2.876323827973195080e+00,-2.137584405816802258e-01,-1.445459386728199513e+00
1.280000000000000027e+00,-3.897760260241690844e+01,2.664921251108608669e+00,4.699273183861385483e+00,4.297469812104832698e+00,1.827381519959522693e+00,-4.425379944722174219e-01,-2.702375543508906297e+00
1.320000000000000062e+00,-4.050773629012746113e+01,2.713348643252804226e+00,4.677983111925676951e+00,4.157413089928682304e+00,5.920527451446133682e-01,-6.503693567690788102e-01,-4.318342339981319888e+00
1.360000000000000098e+00,-2.325761212609699768e+01,2.711095809357644715e+00,4.644073277615781592e+00,3.949495342722128655e+00,-7.089141542389743034e-01,-1.119829225926801897e+00,-6.078120106110839416e+00
1.400000000000000133e+00,-2.403854829351936839e+00,2.667149482211422562e+00,4.576486701186372130e+00,3.691415740471243989e+00,-1.490402024566852113e+00,-2.325450447133319720e+00,-6.802323772864151685e+00
1.439999999999999947e+00,1.374518359266464040e+00,2.605113890951138433e+00,4.451391061319791120e+00,3.433480771470936332e+00,-1.613781090259651441e+00,-3.911308874376600020e+00,-6.053665905837601890e+00
1.479999999999999982e+00,-5.975965697751924210e+00,2.540225902164718885e+00,4.265989000220554495e+00,3.216406163052198508e+00,-1.635098178444481576e+00,-5.320867936292649425e+00,-4.732590224920593336e+00
1.520000000000000018e+00,-1.834828121046083638e+01,2.468932977780931903e+00,4.025197766165049984e+00,3.053171008397436381e+00,-1.934903469526945141e+00,-6.721394929844547228e+00,-3.319268477277035334e+00
1.560000000000000053e+00,-3.541041574777409551e+01,2.376233683330494006e+00,3.717721364405686568e+00,2.950366690200760811e+00,-2.707208237723975230e+00,-8.739222933145679661e+00,-1.608258917552744194e+00
1.600000000000000089e+00,-5.205068766586151696e+01,2.239233243948123953e+00,3.297238763011018037e+00,2.936515089527359734e+00,-4.128463702588494932e+00,-1.239693465364635294e+01,1.167180158741012441e+00
1.640000000000000124e+00,-3.179508517175080939e+01,2.040131596429224370e+00,2.736909277387501227e+00,3.001286268873394114e+00,-5.669949017296014304e+00,-1.451151208596245112e+01,6.278253539550114892e-01
1.679999999999999938e+00,1.745570348856782417e+01,1.808641713538904794e+00,2.225647404769080406e+00,2.899379844560843633e+00,-5.908228989410454268e+00,-1.099111178496526620e+01,-5.784816546188809916e+00
1.719999999999999973e+00,5.059387839750090876e+01,1.597436835270917843e+00,1.865792967123472978e+00,2.612717671139233477e+00,-4.706499484073447981e+00,-7.256937156605988370e+00,-8.164633148105366445e+00
1.760000000000000009e+00,5.193157032578722720e+01,1.449617586062575070e+00,1.622503589305218208e+00,2.304429222058447913e+00,-2.726748869798012453e+00,-5.203583649067493155e+00,-7.076755565382427449e+00
1.800000000000000044e+00,3.550404719325371872e+01,1.377569123573472165e+00,1.430117899553751126e+00,2.055136809731503256e+00,-8.997118566289098451e-01,-4.610568821526162431e+00,-5.340641642739845096e+00
1.840000000000000080e+00,1.967215898134685403e+01,1.366107982686432631e+00,1.252536350407350563e+00,1.861627429892910524e+00,3.151315751809106724e-01,-4.369589141480095584e+00,-4.315550946891856476e+00
1.880000000000000115e+00,1.112043135574573682e+01,1.392108855659988986e+00,1.087502178227726990e+00,1.695093706668505895e+00,9.777191696326368309e-01,-3.936527021527517434e+00,-3.987467954954179827e+00
1.919999999999999929e+00,9.068534920189916804e+00,1.438300367883951436e+00,9.427007836365557392e-01,1.536175302516073371e+00,1.326474481175049513e+00,-3.339262148383602025e+00,-3.930363910687433737e+00
1.959999999999999964e+00,9.186460346571836411e+00,1.496502340538611975e+00,8.201837785644843226e-01,1.380720095833485539e+00,1.579916792797591896e+00,-2.815786813829798785e+00,-3.820596418490517898e+00
2.000000000000000000e+00,8.381039094162481717e+00,1.564529517348015375e+00,7.151433169881926677e-01,1.231951764023273110e+00,1.818892706442930773e+00,-2.460915155023695178e+00,-3.605242510853064353e+00
2.040000000000000036e+00,6.915716199361584771e+00,1.641275763587993541e+00,6.226175939523995728e-01,1.092512906377777648e+00,2.016627048638312658e+00,-2.186184225039727202e+00,-3.358416887862790023e+00
2.080000000000000071e+00,5.472780713764102245e+00,1.724688486852510305e+00,5.408273009636010986e-01,9.629430079296082967e-01,2.152840818489162977e+00,-1.921484686929329389e+00,-3.113152595919482568e+00
2.120000000000000107e+00,4.229026848414602746e+00,1.812373890913840269e+00,4.697061765803054456e-01,8.431850060823556925e-01,2.230818883199170433e+00,-1.650611965574051432e+00,-2.869042255529787866e+00
2.160000000000000142e+00,3.259507354549762592e+00,1.902196912889095426e+00,4.094978805426682800e-01,7.332464553819884046e-01,2.260207732677957715e+00,-1.373711225405898295e+00,-2.624007758472213236e+00
2.200000000000000178e+00,2.643455098843238371e+00,1.992462718681650813e+00,3.603118896842112950e-01,6.331203879052229588e-01,2.253342114428925402e+00,-1.097028907292139532e+00,-2.380937100302728648e+00
2.240000000000000213e+00,2.508530400543004912e+00,2.082023856278210516e+00,3.219113338594384310e-01,5.425752724012488093e-01,2.225216541723387120e+00,-8.315159533642781930e-01,-2.147997076451698018e+00
2.280000000000000249e+00,3.113236548347125598e+00,2.170418421241773643e+00,2.934686737571857718e-01,4.609704810328295599e-01,2.195069437827191994e+00,-5.957533350617444379e-01,-1.937220723797206334e+00
2.319999999999999840e+00,5.030465800145235811e+00,2.258134454022677318e+00,2.730696845691023555e-01,3.871359275440518499e-01,2.191096621339415851e+00,-4.254685194332704645e-01,-1.762880096983890477e+00
2.359999999999999876e+00,9.463117900603169375e+00,2.347202859042156753e+00,2.565700382439386473e-01,3.192928561292385781e-01,2.262129082032558802e+00,-3.962258003734157041e-01,-1.641212023448729740e+00
2.399999999999999911e+00,1.842084348734450572e+01,2.442500148965204065e+00,2.350870910486720367e-01,2.549260966103066850e-01,2.501456142050472398e+00,-6.692075821665008917e-01,-1.592946023721329984e+00
2.439999999999999947e+00,3.257603469667399310e+01,2.554162519579758150e+00,1.902644866679700508e-01,1.905715671538359690e-01,3.078857428016685827e+00,-1.558821303341770825e+00,-1.643301438883482568e+00
2.479999999999999982e+00,3.598838286129682018e+01,2.699688904433532155e+00,8.948573021724980092e-02,1.220311709994962163e-01,4.192724098124833709e+00,-3.465237376406958614e+00,-1.804649224810601638e+00
2.520000000000000018e+00,2.925635621107104178e+00,2.891789015709197663e+00,-9.086287343082502521e-02,4.385986131831785817e-02,5.400714646137041441e+00,-5.506422996733818742e+00,-2.166164252957352598e+00
2.560000000000000053e+00,-3.780114002713005306e+01,3.104825320735235650e+00,-2.982033975356794819e-01,-5.279903238629050921e-02,5.252536851708945242e+00,-4.900513751037066434e+00,-2.652159787683351144e+00
2.600000000000000089e+00,-4.403676698600905581e+01,3.281856626922205145e+00,-4.366981443165460219e-01,-1.527855765357630791e-01,3.630218510826925815e+00,-2.213504494699388925e+00,-2.208780418916089783e+00
2.640000000000000124e+00,-3.065865457264038341e+01,3.392600749630866996e+00,-4.782178482347025916e-01,-2.215471165125022790e-01,1.927509444857602672e+00,4.733288031207957824e-02,-1.192756741236228990e+00
2.680000000000000160e+00,-1.744409667339472492e+01,3.446939594130731699e+00,-4.511443449590138988e-01,-2.530036821547839709e-01,7.959590513636266573e-01,1.302466231279211684e+00,-4.019008581008687297e-01
2.720000000000000195e+00,-8.556577161080079819e+00,3.466406133967408820e+00,-3.892775952595342037e-01,-2.590058538933275312e-01,1.788923056648281107e-01,1.808428481875358651e+00,7.818450526679056323e-02
2.760000000000000231e+00,-3.590924822406396988e+00,3.468034205436608453e+00,-3.167493222964695154e-01,-2.496762674066769216e-01,-9.744608122110386128e-02,1.837408172870999667e+00,3.711480229475609405e-01
