time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
0.000000000000000000e+00,-9.561153493570552442e+00,0.000000000000000000e+00,3.221592653589793187e+00,3.061592653589793045e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-5.272146941459838310e+00,-7.715379413583583687e-03,3.203308051188144212e+00,3.065521418181514690e+00,-3.817389122845760707e-01,-8.908714662526379113e-01,1.818395819699129001e-01
8.000000000000000167e-02,-2.087485401008491337e+00,-2.683398330937138490e-02,3.158981029184747769e+00,3.074960973245390417e+00,-5.712598457681311581e-01,-1.302342785149113391e+00,2.722384280761016573e-01
1.199999999999999956e-01,-3.039206189293988669e-01,-5.067191498139683725e-02,3.105995146719442435e+00,3.085800093742025574e+00,-6.187708512598458777e-01,-1.326897382374883527e+00,2.513078255928828941e-01
1.600000000000000033e-01,5.813788959325461025e-01,-7.480020933482886547e-02,3.057035932281775281e+00,3.093773589480314001e+00,-5.868495574765237865e-01,-1.108265220862935996e+00,1.347519659704284334e-01
2.000000000000000111e-01,1.138337199705173441e+00,-9.688466289490284267e-02,3.019442682971158920e+00,3.095889120106983583e+00,-5.174335683534849739e-01,-7.666480817199669007e-01,-3.374928464753726431e-02
2.399999999999999911e-01,1.774315703032887992e+00,-1.157817131445677689e-01,2.996676031521148253e+00,3.090985782413035121e+00,-4.280702470524070380e-01,-3.736833503482209218e-01,-2.095399439824922883e-01
2.800000000000000266e-01,2.675599375786791967e+00,-1.306974430776405849e-01,2.990138484281632092e+00,3.079522912985948491e+00,-3.188386159134628528e-01,3.910766511532645651e-02,-3.564515887215334855e-01
3.200000000000000067e-01,3.840748898459275029e+00,-1.406838596093033800e-01,3.000363242420111654e+00,3.063269424748219727e+00,-1.820984776146367667e-01,4.589908207360964276e-01,-4.443914714547927414e-01
3.599999999999999867e-01,5.148614464878902730e+00,-1.444928594785510612e-01,3.027399524526191321e+00,3.045134527155092918e+00,-1.055631463275761434e-02,8.741229613319121405e-01,-4.459189720105692922e-01
4.000000000000000222e-01,6.452511643867981483e+00,-1.406906447796006376e-01,3.070641094772365243e+00,3.029097574191958131e+00,1.977782985617527189e-01,1.263834506124410284e+00,-3.351533583814952366e-01
4.400000000000000022e-01,7.687788982977080465e+00,-1.278890576775872923e-01,3.128472410397321823e+00,3.020108051138355343e+00,4.387041912104733266e-01,1.599219908121925160e+00,-9.058394678950340562e-02
4.799999999999999822e-01,8.922230255001728949e+00,-1.049197326829990756e-01,3.198162861630016174e+00,3.023776351993439526e+00,7.055446743914866037e-01,1.854373214413364668e+00,2.978437029798298719e-01
