time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
0.000000000000000000e+00,1.102451879039102600e+01,0.000000000000000000e+00,3.221592653589793187e+00,3.061592653589793045e+00,3.081487911019577365e-32,-9.906821885905268081e-32,3.476604476172771220e-32
4.000000000000000083e-02,5.991545336530552213e+00,8.400199078298552224e-03,3.234090592628421579e+00,3.067239231246273512e+00,4.160515185291858709e-01,6.063982754632557537e-01,2.921128741950158036e-01
8.000000000000000167e-02,3.111766039677227536e+00,2.901695888279680335e-02,3.260972584568663013e+00,3.085348646739757505e+00,6.125473920090082069e-01,7.267990916221549469e-01,6.171339919258426177e-01
1.199999999999999956e-01,2.064154247338811032e+00,5.498135701405688913e-02,3.287194126456773446e+00,3.116447264697186803e+00,6.846756410940317839e-01,5.813677707236765135e-01,9.340068144642321712e-01
1.600000000000000033e-01,2.030400996251906953e+00,8.290355058015742851e-02,3.305863383945638390e+00,3.159453913312407991e+00,7.110220598786316515e-01,3.547503434708424996e-01,1.206793750122342912e+00
2.000000000000000111e-01,2.541409048040491836e+00,1.118109171250120243e-01,3.315892408770282351e+00,3.212040221029149212e+00,7.341064246077312339e-01,1.530364973714972154e-01,1.408699466656666122e+00
2.399999999999999911e-01,3.331345966058676833e+00,1.420155231793484574e-01,3.319495897100909865e+00,3.270931598915664651e+00,7.758290908873450853e-01,3.538488557576979776e-02,1.519276147297411006e+00
2.800000000000000266e-01,4.197172250242195091e+00,1.744708685311702201e-01,3.320618923725953575e+00,3.332219938220852384e+00,8.464361926515161505e-01,2.853764257235602217e-02,1.528276113687084159e+00
3.200000000000000067e-01,4.977314637849749701e+00,2.103626582333573969e-01,3.323662747741901846e+00,3.391902050684322489e+00,9.473235876062746641e-01,1.283974587825671143e-01,1.441607059782208822e+00
3.599999999999999867e-01,5.570741718176706492e+00,2.507916559310323090e-01,3.332331021483573519e+00,3.446538229812469378e+00,1.072902940043640951e+00,3.051773110160165836e-01,1.280499875703233981e+00
4.000000000000000222e-01,5.934525814717908965e+00,2.965500125222032546e-01,3.348840480307679002e+00,3.493716557464285444e+00,1.213415195980337202e+00,5.157647798636804115e-01,1.073581145832518846e+00
4.400000000000000022e-01,6.066466494070906101e+00,3.480110692496155567e-01,3.373641299651042758e+00,3.532184653393412255e+00,1.357761832965898696e+00,7.159143429169180228e-01,8.493309305060880998e-01
4.799999999999999822e-01,5.997212105681470895e+00,4.051180790560735545e-01,3.405532584028059695e+00,3.561764596280817319e+00,1.495603632100080738e+00,8.677364270024026105e-01,6.327443365578766521e-01
5.200000000000000178e-01,5.790678642922594932e+00,4.674481764681643337e-01,3.442012770916844655e+00,3.583182238211635173e+00,1.619012942260700472e+00,9.442931203134363738e-01,4.437976889842915051e-01
